"GOV"	"POLGOV"	"3"	"4"
"GOV"	"SYRMED"	"1"	"1"
"GRD"	""	"1"	"1"
"IGOMEAARL"	"LBY"	"1"	"2"
"IGOMEAARL"	"SYR"	"2"	"4"
"JOR"	"LEGGOV"	"2"	"2"
"LBY"	"IGOMEAARL"	"1"	"2"
"MED"	"ALB"	"1"	"1"
"OMN"	""	"1"	"1"
"POL"	"DEUGOV"	"1"	"1"
"POL"	"EUR"	"1"	"2"
"POLGOV"	"GOV"	"2"	"3"
"USAMED"	"GOV"	"1"	"1"
""	"LAB"	"3"	"3"
""	"GOVMIL"	"2"	"2"
"FRA"	"IRN"	"1"	"2"
"IRN"	"FRA"	"2"	"4"
"IRQ"	"MED"	"1"	"1"
"MED"	"IRQ"	"1"	"1"
""	"AUS"	"1"	"1"
""	"IRL"	"3"	"3"
""	"LBY"	"2"	"3"
""	"UAF"	"2"	"2"
""	"UGA"	"1"	"1"
"BLR"	"RUS"	"3"	"4"
"CHN"	"MIL"	"2"	"3"
"GHA"	"CVL"	"1"	"1"
"GOVAGR"	"LAO"	"1"	"1"
"IRLREB"	"IRL"	"1"	"1"
"JPN"	"REL"	"1"	"1"
"MIL"	"IRL"	"1"	"2"
"MIL"	"SAU"	"1"	"2"
"MOSCVL"	"IRN"	"1"	"1"
"NGODNKCHRPROLEG"	"POL"	"1"	"1"
"NGOUSACHR"	"POL"	"2"	"3"
"POL"	"LEG"	"1"	"1"
"RUS"	"BLR"	"3"	"7"
"ISR"	"MAR"	"1"	"2"
""	"BHR"	"2"	"2"
""	"GBR"	"4"	"6"
""	"ITA"	"3"	"4"
""	"PAK"	"1"	"1"
""	"RUS"	"3"	"4"
"AFGCVL"	""	"1"	"1"
"AFGGOV"	""	"1"	"1"
"AUS"	"GMW"	"1"	"1"
"CVL"	"AFG"	"2"	"2"
"CVL"	"GOV"	"3"	"4"
"DEUGOV"	"GOV"	"2"	"2"
"GBR"	"LBY"	"2"	"2"
"GOV"	"KWT"	"1"	"1"
"GOV"	"LAO"	"3"	"6"
"GOV"	"MAR"	"1"	"6"
"IRNGOV"	"USA"	"1"	"1"
"LAO"	"GOV"	"3"	"6"
"LEG"	"KOR"	"1"	"1"
"PSE"	"PSEUAF"	"1"	"2"
"REBCRM"	"CHRPTY"	"1"	"1"
"REL"	"ITA"	"1"	"2"
"SAUMED"	"SAU"	"1"	"1"
"SAUMED"	"SAUEDU"	"1"	"1"
"UAF"	"ITA"	"1"	"1"
"UKR"	"GIN"	"1"	"1"
"UKRCVL"	"GIN"	"1"	"1"
"ISR"	"ISRUAF"	"1"	"1"
"ISRUAF"	"PSE"	"1"	"1"
"MARGOV"	"MAR"	"1"	"1"
""	"CUB"	"1"	"2"
""	"IRQ"	"1"	"2"
""	"PHL"	"1"	"1"
""	"REF"	"1"	"1"
"AUS"	"POL"	"1"	"3"
"AUS"	"REL"	"1"	"1"
"CAN"	"MEX"	"1"	"2"
"CHN"	"CHNMIL"	"2"	"2"
"CHNMIL"	""	"2"	"3"
"CHRANG001"	"AUS"	"1"	"1"
"CHRANG001"	"CHN"	"1"	"2"
"CHRANG001"	"REL"	"1"	"2"
"CHRCTH"	"GOV"	"1"	"1"
"COP"	"OPP"	"3"	"3"
"CUB"	"LAO"	"2"	"2"
"CUB"	"USA"	"2"	"5"
"EDUEDU"	"MED"	"1"	"1"
"EGY"	"CVL"	"2"	"2"
"FIN"	"AUT"	"1"	"2"
"FIN"	"CUB"	"1"	"2"
"FIN"	"ESP"	"1"	"2"
"FIN"	"MEX"	"1"	"2"
"FIN"	"SWE"	"1"	"2"
"GBR"	"CHN"	"1"	"3"
"GOV"	"GMW"	"1"	"2"
"GOV"	"MEX"	"1"	"1"
"GOVPTY"	"GOV"	"1"	"1"
"HTI"	"USA"	"1"	"2"
"IGOWSTNAT"	"ITA"	"1"	"2"
"ISR"	"IRQ"	"3"	"7"
"JOR"	"EGY"	"1"	"1"
"LEGGOV"	"JOR"	"1"	"1"
"MED"	"IGOWSTNATMIL"	"1"	"1"
"PGS"	"SAU"	"1"	"2"
"PHL"	"THA"	"1"	"1"
"POLELI"	"GOV"	"4"	"4"
"POLELIGOV"	"DEU"	"1"	"2"
"AUS"	""	"1"	"1"
"CAN"	"POL"	"2"	"4"
"CVL"	"GHA"	"2"	"2"
"IRL"	""	"1"	"2"
"IRL"	"IRLREB"	"1"	"1"
"IRN"	"MOSCVL"	"1"	"1"
"LAO"	"GOVAGR"	"1"	"1"
"LEG"	"POL"	"1"	"1"
"MIL"	"CHN"	"1"	"1"
"POL"	"MIL"	"2"	"3"
"POL"	"NGODNKCHRPROLEG"	"1"	"1"
"POL"	"NGOUSACHR"	"1"	"1"
"REL"	"JPN"	"1"	"1"
"RUS"	"USA"	"4"	"7"
"SAU"	"MIL"	"1"	"2"
"UAF"	""	"4"	"4"
""	"AFGCVL"	"1"	"2"
""	"AFGGOV"	"1"	"1"
"AFG"	"CVL"	"1"	"1"
"BHR"	""	"2"	"2"
"CHR"	"LBY"	"1"	"1"
"CHRPTY"	"REBCRM"	"1"	"1"
"GIN"	"UKR"	"1"	"1"
"GIN"	"UKRCVL"	"1"	"2"
"GMW"	"AUS"	"1"	"2"
"GOV"	"DEUGOV"	"2"	"2"
"ITA"	"REL"	"2"	"5"
"ITA"	"UAF"	"2"	"3"
"KOR"	"LEG"	"1"	"1"
"KWT"	"GOV"	"1"	"1"
"LBY"	"GBR"	"1"	"1"
"MAR"	"GOV"	"1"	"4"
"MED"	"EGY"	"3"	"3"
"MED"	"EGYGOV"	"1"	"1"
"MOS"	"LBY"	"1"	"1"
"PSEUAF"	"PSE"	"1"	"2"
"SAU"	"SAUMED"	"1"	"1"
"SAUEDU"	"SAUMED"	"1"	"2"
"ISRUAF"	"ISR"	"1"	"1"
"MAR"	"MARGOV"	"1"	"1"
"PSE"	"ISRUAF"	"1"	"1"
""	"CHNMIL"	"2"	"3"
""	"IGOWSTNAT"	"1"	"1"
"AUS"	"CHRANG001"	"1"	"1"
"AUT"	"FIN"	"1"	"2"
"AUT"	"USA"	"1"	"2"
"BUS"	"ITA"	"1"	"1"
"CHN"	"CHRANG001"	"1"	"2"
"CHN"	"GBR"	"1"	"3"
"CHNMIL"	"CHN"	"2"	"2"
"CUB"	""	"1"	"2"
"CUB"	"FIN"	"1"	"2"
"CVL"	"EGY"	"1"	"1"
"EGY"	"JOR"	"1"	"1"
"ESP"	"FIN"	"1"	"2"
"ESP"	"USA"	"1"	"2"
"FIN"	"USA"	"2"	"5"
"GMW"	"GOV"	"1"	"2"
