564114874	20160728	201607	2016	2016.5699	PAK	PAKISTAN	PAK																		1	010	010	01	1	0.0	18	2	18	-0.780535160504466	4	Lahore, Punjab, Pakistan	PK	PK04	31.5497	74.3436	-2767043	0							4	Lahore, Punjab, Pakistan	PK	PK04	31.5497	74.3436	-2767043	20160728	http://tribune.com.pk/story/1150717/basic-right-ahmadi-christian-marriages-not-registered/
564114884	20160728	201607	2016	2016.5699	PAK	PAKISTAN	PAK																		1	124	124	12	3	-4.0	8	1	8	-4.02930402930403	4	Malakand, North-West Frontier, Pakistan	PK	PK03	34.5656	71.9304	-2768117	0							4	Malakand, North-West Frontier, Pakistan	PK	PK03	34.5656	71.9304	-2768117	20160728	http://dailytimes.com.pk/khyber-pakhtunkhwa/28-Jul-16/shutter-down-strike-observed-in-malakand-division
564114894	20160728	201607	2016	2016.5699	PAK	LAHORE	PAK								COP	POLICE						COP			1	042	042	04	1	1.9	4	1	4	-6.57439446366782	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	34.796	72.1502	-2764806	4	Kashmir, North-West Frontier, Pakistan	PK	PK03	34.796	72.1502	-2764806	20160728	http://www.dailyexcelsior.com/nia-takes-custody-pak-ultra/
564114904	20160728	201607	2016	2016.5699	PAK	KARACHI	PAK								GOV	CHIEF MINISTER						GOV			1	0831	083	08	2	5.0	420	3	420	-5.00826614407779	4	Karachi, Sindh, Pakistan	PK	PK05	24.8667	67.05	-2764584	4	Karachi, Sindh, Pakistan	PK	PK05	24.8667	67.05	-2764584	4	Karachi, Sindh, Pakistan	PK	PK05	24.8667	67.05	-2764584	20160728	http://aninews.in/newsdetail-NGFJeGpj/MjczNzY1YUl4amM/its-039-possible-039-russia-is-trying-to-sway-vote-for-trump-says-obama.html
564114914	20160728	201607	2016	2016.5699	PAK	PAKISTAN	PAK								HINBUS	HINDU				HIN		BUS			0	193	193	19	4	-10.0	14	1	14	-5.75256107171001	4	Mehar, Sindh, Pakistan	PK	PK05	27.3584	68.6323	95178	1	Russia	RS	RS	60	100	RS	1	Russia	RS	RS	60	100	RS	20160728	http://aninews.in/newsdetail-NGFJeGpj/MjczNzQ2YUl4amM/hindu-trader-killed-as-communal-tensions-remain-high-in-sindh-039-s-ghotki-district.html
564114924	20160728	201607	2016	2016.5699	PAK	LAHORE	PAK								IDN	INDONESIA	IDN								0	112	112	11	3	-2.0	7	1	7	-5.75256107171001	4	Yangon, Yangon, Myanmar	BM	BM17	16.8053	96.1561	-440623	1	Indonesia	ID	ID	-5	120	ID	3	Philadelphia, Pennsylvania, United States	US	USPA	39.9523	-75.1638	1209052	20160728	http://aninews.in/newsdetail-NGFJeGpj/MjczNzQ2YUl4amM/hindu-trader-killed-as-communal-tensions-remain-high-in-sindh-039-s-ghotki-district.html
564114934	20160728	201607	2016	2016.5699	PAK	PAKISTAN	PAK								MED	JOURNALIST						MED			0	010	010	01	1	0.0	4	1	4	-8.56481481481481	4	Faisalabad, Punjab, Pakistan	PK	PK04	31.4167	73.0833	-2759985	4	Faisalabad, Punjab, Pakistan	PK	PK04	31.4167	73.0833	-2759985	4	Faisalabad, Punjab, Pakistan	PK	PK04	31.4167	73.0833	-2759985	20160728	http://tribune.com.pk/story/1150578/heinous-crime-two-trans-women-manhandled-raped/
564122950	20160728	201607	2016	2016.5699	USACOP	SAN FRANCISCO	USA					COP													0	020	020	02	1	3.0	6	1	6	-5.56660039761432	3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	0							3	San Francisco, California, United States	US	USCA	37.7749	-122.419	277593	20160728	https://sfbay.ca/archives/richmond-district/
564122960	20160728	201607	2016	2016.5699	USACOP	MINNEAPOLIS	USA					COP			OPP	DEMONSTRATOR						OPP			0	010	010	01	1	0.0	1014	161	1014	-9.37543110302665	3	Minneapolis, Minnesota, United States	US	USMN	44.98	-93.2638	655030	3	Minneapolis, Minnesota, United States	US	USMN	44.98	-93.2638	655030	3	Minneapolis, Minnesota, United States	US	USMN	44.98	-93.2638	655030	20160728	http://mynorthwest.com/357336/ap-news-guide-more-unrest-as-police-shooting-probe-goes-on/
564122970	20160728	201607	2016	2016.5699	USACOP	UNITED STATES	USA					COP			USA	UNITED STATES	USA								1	193	193	19	4	-10.0	12	2	12	-3.98203712365807	3	Baton Rouge, Louisiana, United States	US	USLA	30.4507	-91.1545	1629914	3	Baton Rouge, Louisiana, United States	US	USLA	30.4507	-91.1545	1629914	3	Baton Rouge, Louisiana, United States	US	USLA	30.4507	-91.1545	1629914	20160728	http://mynorthwest.com/346548/the-latest-3-officers-dead-3-injured-in-baton-rouge/
